topic/doc,12 angry men,a beautiful mind,ac milan,ac_milan,africa screams,airplane!,akira,alastair_cook,andy murray,arrow,batman begins,beach vollyball,bey yaar,biribol,bow fishing,boxing,brendon_mccullum,chess,cricket,cristiano_ronaldo,cycling,die hard,edge of tomorrow,england_cricket_team,equastrianism,et,federer,field archery,Fifa world cup,fist of fury,football tennis,football,gambling,gladiator,good will hunting,hobbit1,hobbit2,hobbit3,hooverball,icc player rankings,icc t20 championship,indian_cricket_team,international cricket,jurassic park,kaka,kevi rite jaish,kevin_pietersen,laxman,lionel_messy,lotr1,lotr2,lotr3,machester_united,michael_clarke,mind sports,nadal,new_zealand_cricket_team,nfl,oldboy,one day international,phelps,polo,pulp fiction,rahul_dravid,real_madrid,rotton tomatoes,sachin_tendulkar,seven samurai,slamball,star wars 1,star wars 2,star wars 3,star wars 4,star wars 5,star wars 6,super bowl,swimming,tare zameen par,target archery,tennis,test cricket records,test cricket,the adventures of tintin,the beauty and the best,the dark knight rises,the dark knight,the incredibles,the king's speech,the lion king,the matrix,the terminator,the wind rises,to kill a mockingbird,toss cricket,wall-e,walt disney,water vollyball,world cricket league,wrestling,x2
topic 1,0.003827418200671673,3.6153290420770645E-4,0.30683380365371704,0.3191964328289032,0.0011600927682593465,0.10000000149011612,8.659508312121034E-4,0.008869442157447338,0.02734452113509178,0.0024201355408877134,0.005653612781316042,0.006987143773585558,0.002808988792821765,0.0679442510008812,0.0010020040208473802,0.007099583279341459,0.002487562131136656,0.018435336649417877,9.185036760754883E-4,0.936923086643219,0.01626168191432953,2.7777778450399637E-4,0.0036786345299333334,0.001011690590530634,0.004374057520180941,0.006342062260955572,0.012405007146298885,0.004000000189989805,0.7378594279289246,7.680491544306278E-4,0.13775509595870972,0.024555997923016548,0.004234026186168194,1.5713387983851135E-4,0.002274204045534134,7.153076003305614E-4,0.011332227848470211,0.006871907506138086,0.005102040711790323,3.9032005588524044E-4,0.018895348533988,0.030888505280017853,0.008975712582468987,0.0030065360479056835,0.9015879034996033,0.004554655868560076,0.014486151747405529,6.27352565061301E-4,0.9634713530540466,1.9120458455290645E-4,2.1376657241489738E-4,6.047411588951945E-4,0.8039143085479736,3.1328320619650185E-4,0.020114943385124207,0.04105350002646446,0.012132163159549236,0.09653390198945999,2.8425242635421455E-4,0.012023217044770718,0.018006794154644012,0.0648881271481514,0.0033034051302820444,1.6077169857453555E-4,0.8844287991523743,0.020467836409807205,0.03720352053642273,0.0019409938249737024,0.06855225563049316,0.0013404826167970896,6.242197123356164E-4,4.3744532740674913E-4,0.001893142587505281,0.0022032903507351875,0.00244140625,0.04639551788568497,2.1177467715460807E-4,0.006766917183995247,0.003933566622436047,0.002105474239215255,1.7998559633269906E-4,3.6101083969697356E-4,5.518763791769743E-4,1.2410027557052672E-4,0.00352822570130229,0.008620689623057842,9.466111077927053E-4,0.01695691980421543,0.0011715699220076203,1.207146342494525E-4,0.0013049963163211942,0.003794266376644373,3.2362458296120167E-4,0.0015015015378594398,0.10000000149011612,0.005519683472812176,0.04111405834555626,0.152957484126091,0.032886333763599396,2.2614201589021832E-4
topic 2,0.19589422643184662,0.35466378927230835,1.7170330102089792E-4,8.585164905525744E-4,0.22389791905879974,0.10000000149011612,0.338240385055542,0.009815515950322151,9.871668589767069E-5,0.00338818971067667,0.8418367505073547,0.011458915658295155,0.20131085813045502,0.001742160296998918,0.04108216613531113,0.01959485001862049,0.004619758576154709,0.03003930300474167,8.350033749593422E-5,0.018153846263885498,0.012523364275693893,0.8447222113609314,0.5804885029792786,0.007081834599375725,0.0019607844296842813,0.6483224034309387,3.352704516146332E-4,0.019999999552965164,0.001118210842832923,0.19278033077716827,0.001700680237263441,9.967379737645388E-4,3.8491145824082196E-4,0.43290382623672485,0.3291098177433014,0.22103004157543182,0.226920947432518,0.2350192368030548,0.02142857201397419,0.0011709601385518909,0.0014534883666783571,0.009968004189431667,0.0036958816926926374,0.8030065298080444,5.539143458008766E-4,0.06831983476877213,0.02377915382385254,0.001045587589032948,0.004110438749194145,0.3302103281021118,0.2558785676956177,0.24709723889827728,0.03188084810972214,0.003446115180850029,0.0028735632076859474,0.010521248914301395,0.008002065122127533,0.0022803284227848053,0.21063104271888733,0.005389717873185873,0.006681766826659441,0.003958691842854023,0.2086227387189865,1.6077169857453555E-4,0.028256123885512352,0.3222222328186035,0.025918133556842804,0.3000776469707489,0.049376796931028366,0.8759537935256958,0.9273824095726013,0.9129483699798584,0.880731999874115,0.9493243098258972,0.9558919072151184,0.019605455920100212,6.353239878080785E-4,0.22601503133773804,0.0030594405252486467,0.013735712505877018,8.999279816634953E-4,0.0010830324608832598,0.4564017653465271,0.4426656663417816,0.8496975898742676,0.871936023235321,0.5030291676521301,0.30232203006744385,0.45287686586380005,0.5542008876800537,0.8074198365211487,0.30817875266075134,0.23592233657836914,0.0015015015378594398,0.10000000149011612,0.23401375114917755,0.0013262599240988493,4.621072148438543E-4,0.005427841562777758,0.4253731369972229
topic 3,0.6642310619354248,0.6193058490753174,1.7170330102089792E-4,1.7170330102089792E-4,0.19605568051338196,0.10000000149011612,0.5737789869308472,1.1825922410935163E-4,0.005824284162372351,0.0014520813710987568,0.04729729890823364,0.003074343316257,0.7462546825408936,0.005226480774581432,0.01903807558119297,9.466111077927053E-5,3.5536603536456823E-4,4.6790193300694227E-4,4.1750166565179825E-4,6.769230822101235E-4,1.8691588775254786E-4,0.06638889014720917,0.3206297755241394,3.372302162460983E-4,0.0019607844296842813,0.23752045631408691,1.1175681720487773E-4,0.002400000113993883,1.59744406118989E-4,0.7135176658630371,0.001700680237263441,9.061254240805283E-5,0.008852964267134666,0.10857950896024704,0.6221572160720825,0.01263710018247366,8.291873964481056E-4,2.7487630723044276E-4,0.0010204081190750003,3.9032005588524044E-4,0.004360465332865715,1.2306177814025432E-4,0.0015839493134990335,0.009803921915590763,0.0049852291122078896,0.8820850253105164,0.006468658801168203,6.27352565061301E-4,3.877772542182356E-4,0.012045889161527157,0.007909363135695457,3.628447011578828E-4,0.0011078286916017532,0.015977444127202034,0.0028735632076859474,3.4383166348561645E-4,0.004388228990137577,0.001064153271727264,0.7228538990020752,0.001243781065568328,5.662514013238251E-4,1.7211704107467085E-4,0.6522954702377319,0.004983922932296991,1.212709175888449E-4,0.5374268889427185,0.031082632020115852,0.5795807242393494,0.0023969318717718124,0.033718291670084,0.009363295510411263,0.008019831031560898,0.05209647864103317,0.010428907349705696,0.007975260727107525,0.0015830491902306676,2.1177467715460807E-4,0.6693233251571655,0.0030594405252486467,1.0026068048318848E-4,1.7998559633269906E-4,0.0010830324608832598,0.15875643491744995,0.021965747699141502,0.046068549156188965,0.03936435282230377,0.05471412464976311,0.5785212516784668,0.03033064305782318,0.08172380179166794,0.11987322568893433,0.5720910429954529,0.25663429498672485,0.0045045046135783195,0.10000000149011612,0.02926473692059517,0.0039787800051271915,4.621072148438543E-4,0.004150702618062496,0.11555857211351395
topic 4,0.001043841359205544,3.6153290420770645E-4,8.585164905525744E-4,0.001545329694636166,0.0011600927682593465,0.10000000149011612,1.7319015751127154E-4,0.001300851465202868,0.9568607807159424,0.0024201355408877134,0.004826254677027464,0.07629960775375366,0.002808988792821765,0.02961672469973564,0.0010020040208473802,0.01599772833287716,0.0017768301768228412,0.05624181032180786,2.5050100521184504E-4,0.007815384306013584,0.007289719767868519,0.0019444444915279746,1.471453724661842E-4,0.002360611455515027,0.0010558069916442037,0.0018412438221275806,0.9654671549797058,7.999999797903001E-4,0.02891373820602894,0.009984639473259449,0.001700680237263441,9.061254240805283E-5,0.013471901416778564,1.5713387983851135E-4,3.24886292219162E-4,0.002622794359922409,0.0013819789746776223,2.7487630723044276E-4,0.0071428571827709675,3.9032005588524044E-4,0.0014534883666783571,0.0011075560469180346,5.279831239022315E-4,9.150326950475574E-4,0.014586410485208035,0.0015182186616584659,0.0010021865600720048,0.009828523732721806,0.012951760552823544,5.736137391068041E-4,0.0032064984552562237,0.003265602281317115,0.008493352681398392,0.012844611890614033,0.020114943385124207,0.9295145273208618,0.004904491361230612,0.0019762846641242504,0.021318931132555008,4.145936982240528E-4,0.014156285673379898,1.7211704107467085E-4,0.0022869727108627558,0.006591639947146177,0.0030317730270326138,0.001754386001266539,0.006025248672813177,3.881987649947405E-4,0.0330776609480381,3.093421400990337E-4,2.0807323744520545E-4,0.00685330992564559,0.006240359041839838,1.4688601368106902E-4,0.00634765625,0.02252800762653351,0.00910631101578474,1.5037594130262733E-4,4.370629321783781E-4,0.49719271063804626,0.0019798416178673506,3.6101083969697356E-4,0.0023914643097668886,0.006825515069067478,5.040322430431843E-4,5.193186807446182E-4,1.8932222155854106E-4,0.02337305247783661,1.30174434161745E-4,0.003259295132011175,0.005033556837588549,0.001264755497686565,3.2362458296120167E-4,0.0015015015378594398,0.10000000149011612,0.006977713201195002,0.009283819235861301,4.621072148438543E-4,3.192847943864763E-4,2.2614201589021832E-4
topic 5,0.0024356297217309475,0.0010845987126231194,0.6907623410224915,0.676682710647583,0.0011600927682593465,0.10000000149011612,0.0022514720913022757,1.1825922410935163E-4,9.871668589767069E-5,0.009196515195071697,4.136789939366281E-4,0.019843487069010735,9.36329597607255E-4,0.005226480774581432,0.0010020040208473802,0.01315789483487606,0.0010660981060937047,0.0014037057990208268,9.185036760754883E-4,5.53846126422286E-4,0.008037382736802101,8.333333535119891E-4,0.019570335745811462,0.001011690590530634,0.0010558069916442037,0.018617020919919014,3.352704516146332E-4,0.007199999876320362,0.039137378334999084,7.680491544306278E-4,0.018707482144236565,9.967379737645388E-4,3.8491145824082196E-4,0.0014142049476504326,0.008771929889917374,0.001192179275676608,0.002487562131136656,2.7487630723044276E-4,0.0010204081190750003,0.0011709601385518909,0.0014534883666783571,1.2306177814025432E-4,5.279831239022315E-4,3.921568568330258E-4,0.057791728526353836,5.060728872194886E-4,9.110787505051121E-5,0.001882057753391564,2.3266635253094137E-4,1.9120458455290645E-4,6.412997026927769E-4,1.2094823614461347E-4,0.03163466230034828,3.1328320619650185E-4,0.03735632076859474,3.4383166348561645E-4,7.743933820165694E-4,0.001064153271727264,2.8425242635421455E-4,4.145936982240528E-4,0.9477916359901428,8.60585190821439E-4,0.01380653865635395,4.823151102755219E-4,0.01394615601748228,0.006432748399674892,0.0010520275682210922,0.0011645962949842215,0.004314477555453777,0.011445659212768078,6.242197123356164E-4,0.004228638019412756,0.005819660611450672,7.344300975091755E-4,1.6276042151730508E-4,0.0013395032146945596,0.5923337340354919,4.51127823907882E-4,0.039772726595401764,1.0026068048318848E-4,1.7998559633269906E-4,0.0061371843330562115,1.8395879305899143E-4,8.687018998898566E-4,0.008366935886442661,0.0023888659197837114,9.466111077927053E-4,0.003208066103979945,0.0011715699220076203,1.207146342494525E-4,1.8642803479451686E-4,0.0063237776048481464,0.002912621246650815,0.010510510765016079,0.10000000149011612,1.0414497228339314E-4,0.009283819235861301,0.011552680283784866,0.07503192871809006,0.3769787549972534
topic 6,0.001043841359205544,0.003253796137869358,1.7170330102089792E-4,1.7170330102089792E-4,0.5232018828392029,0.10000000149011612,0.059057846665382385,0.002483443822711706,9.871668589767069E-5,0.03630203381180763,0.04509101063013077,2.794857427943498E-4,0.006554306950420141,0.001742160296998918,0.0010020040208473802,0.004638394340872765,3.5536603536456823E-4,0.002900992054492235,7.515029865317047E-4,4.3076922884210944E-4,0.6207476854324341,0.015277777798473835,0.015155973844230175,7.868704851716757E-4,0.6466063261032104,0.05094107985496521,1.1175681720487773E-4,7.999999797903001E-4,0.001118210842832923,0.0023041474632918835,0.001700680237263441,0.0013591881142929196,0.4876828193664551,0.011156504973769188,3.24886292219162E-4,0.006914639845490456,2.7639578911475837E-4,2.7487630723044276E-4,0.0030612244736403227,3.9032005588524044E-4,0.0014534883666783571,1.2306177814025432E-4,5.279831239022315E-4,0.15803921222686768,1.8463810556568205E-4,0.0015182186616584659,0.0011844023829326034,0.001045587589032948,2.3266635253094137E-4,0.0021032504737377167,0.0014963659923523664,0.00737784244120121,0.009231905452907085,0.002819548826664686,0.0028735632076859474,6.876633415231481E-5,2.5813112733885646E-4,4.560656670946628E-4,2.8425242635421455E-4,0.001243781065568328,1.1325028026476502E-4,0.09001721441745758,0.021090971305966377,0.003697749227285385,3.638127527665347E-4,0.005263158120214939,4.781943280249834E-4,0.019021738320589066,0.0023969318717718124,0.02216951921582222,0.009363295510411263,0.004811898339539766,0.024891318753361702,0.005141010507941246,0.00732421875,8.524110889993608E-4,0.002329521346837282,0.040751878172159195,4.370629321783781E-4,5.013034096919E-4,1.7998559633269906E-4,3.6101083969697356E-4,0.02446652017533779,0.5203524231910706,0.010383064858615398,0.02627752348780632,0.4007951617240906,0.0047357166185975075,0.5127571225166321,0.028850797563791275,0.013982103206217289,0.07630691677331924,3.2362458296120167E-4,0.010510510765016079,0.10000000149011612,0.6885023713111877,0.0013262599240988493,0.0013863216154277325,0.005427841562777758,0.014246947132050991
topic 7,3.4794711973518133E-4,0.0010845987126231194,5.15109917614609E-4,8.585164905525744E-4,0.0034802784211933613,0.10000000149011612,0.006061655469238758,0.974810779094696,0.0012833168730139732,0.016940949484705925,4.136789939366281E-4,0.0013974286848679185,0.03651685267686844,0.012195121496915817,0.009018036536872387,6.626278045587242E-4,0.9605543613433838,0.001590866595506668,0.5839178562164307,0.0031384616158902645,0.005794392433017492,2.7777778450399637E-4,0.0010300176218152046,0.9632419347763062,0.009803921915590763,2.0458265498746186E-4,7.822976913303137E-4,7.999999797903001E-4,0.04169329255819321,7.680491544306278E-4,0.005102040711790323,0.01839434541761875,0.0019245573785156012,1.5713387983851135E-4,0.002274204045534134,0.005007152911275625,2.7639578911475837E-4,0.0024738868232816458,0.0071428571827709675,0.9941452145576477,0.7601743936538696,0.9299778342247009,0.856916606426239,1.3071895227767527E-4,0.005354505032300949,0.019736841320991516,0.9215561151504517,0.952112078666687,0.0014735535951331258,1.9120458455290645E-4,2.1376657241489738E-4,1.2094823614461347E-4,0.006770064122974873,0.9620927572250366,0.043103449046611786,6.188969709910452E-4,0.9414042234420776,0.0022803284227848053,8.527572499588132E-4,0.7914593815803528,0.004416760988533497,0.019449224695563316,2.541080757509917E-4,0.9673633575439453,3.638127527665347E-4,0.015789473429322243,0.8644797205924988,3.881987649947405E-4,0.014860978350043297,0.0017529387259855866,2.0807323744520545E-4,1.4581510913558304E-4,7.011639536358416E-5,0.0013219740940257907,0.0037434895057231188,0.003287871368229389,0.006565014831721783,0.02631578966975212,4.370629321783781E-4,0.0037096450105309486,0.9944204688072205,0.8119133710861206,0.010485650971531868,1.2410027557052672E-4,0.0013104839017614722,3.115911968052387E-4,9.466111077927053E-4,4.582951369229704E-4,1.30174434161745E-4,0.002535007195547223,1.8642803479451686E-4,0.003794266376644373,9.708738070912659E-4,0.6291291117668152,0.10000000149011612,0.0038533639162778854,0.0809018537402153,0.47550833225250244,0.002234993502497673,2.2614201589021832E-4
topic 8,0.01009046658873558,3.6153290420770645E-4,1.7170330102089792E-4,1.7170330102089792E-4,0.022041764110326767,0.10000000149011612,8.659508312121034E-4,0.0020104069262742996,9.871668589767069E-5,0.014036785811185837,0.007032542955130339,2.794857427943498E-4,9.36329597607255E-4,0.008710801601409912,0.005010019987821579,9.466111077927053E-5,0.002487562131136656,9.358038369100541E-5,5.845023551955819E-4,6.153846334200352E-5,0.005794392433017492,0.016944443807005882,0.018098881468176842,1.1241007450735196E-4,0.0013574660988524556,0.00920621957629919,1.1175681720487773E-4,7.999999797903001E-4,0.001118210842832923,0.02688172087073326,0.001700680237263441,2.718376345001161E-4,0.0019245573785156012,0.03284098207950592,3.24886292219162E-4,0.7494038939476013,0.7559425234794617,0.7155030369758606,0.0030612244736403227,0.0011709601385518909,0.0014534883666783571,3.6918531986884773E-4,0.004751848056912422,0.01189542468637228,5.539143458008766E-4,0.009615384973585606,9.110787505051121E-5,6.27352565061301E-4,7.755545084364712E-5,0.6372848749160767,0.7223172187805176,0.7316158413887024,0.008739537559449673,3.1328320619650185E-4,0.008620689623057842,6.188969709910452E-4,0.003355704713612795,4.560656670946628E-4,0.013359863311052322,0.002902155974879861,0.0014722537016496062,5.163511377759278E-4,0.034982211887836456,1.6077169857453555E-4,6.063546170480549E-4,5.847953143529594E-4,4.781943280249834E-4,0.04930124059319496,0.003355704713612795,0.006702412851154804,0.030586766079068184,0.03135024756193161,0.0017529098549857736,0.0033783784601837397,0.014811198227107525,6.088650552555919E-4,2.1177467715460807E-4,1.5037594130262733E-4,4.370629321783781E-4,3.007820341736078E-4,5.399567889980972E-4,3.6101083969697356E-4,0.3360927104949951,8.687018998898566E-4,0.03719758242368698,0.011321146972477436,0.021393410861492157,0.008402077481150627,9.112210245802999E-4,0.01146788988262415,0.0016778523568063974,0.022344013676047325,0.47087377309799194,0.0015015015378594398,0.10000000149011612,0.0015621745260432363,0.0013262599240988493,0.0013863216154277325,0.0028735632076859474,0.05133423954248428
topic 9,0.017049407586455345,0.009761388413608074,1.7170330102089792E-4,1.7170330102089792E-4,0.008120649494230747,0.10000000149011612,0.004329754039645195,1.1825922410935163E-4,9.871668589767069E-5,4.840271139983088E-4,0.007308328524231911,0.037171605974435806,9.36329597607255E-4,0.008710801601409912,0.0030060119461268187,0.0014199167490005493,0.006751954555511475,4.6790193300694227E-4,0.01327655278146267,4.3076922884210944E-4,0.00355140189640224,0.015277777798473835,0.0033843438141047955,0.003934352658689022,0.007088989485055208,0.002659574383869767,5.587840569205582E-4,7.999999797903001E-4,0.06629393249750137,0.009984639473259449,0.015306122601032257,0.5676875710487366,0.11508852988481522,0.3870207369327545,0.00812215730547905,2.384358667768538E-4,2.7639578911475837E-4,0.011269928887486458,0.0030612244736403227,3.9032005588524044E-4,0.021802324801683426,8.614324615336955E-4,0.024815205484628677,0.0027450979687273502,1.8463810556568205E-4,5.060728872194886E-4,0.0010021865600720048,6.27352565061301E-4,7.755545084364712E-5,0.0017208412755280733,0.002351432340219617,0.001330430619418621,0.041235845535993576,3.1328320619650185E-4,0.0028735632076859474,6.876633415231481E-5,2.5813112733885646E-4,0.8608999848365784,2.8425242635421455E-4,0.019485903903841972,3.3975084079429507E-4,0.04457831382751465,0.010418430902063847,0.005305466242134571,0.010550569742918015,0.005263158120214939,0.002964804880321026,0.0034937888849526644,0.46069031953811646,0.00958960596472025,2.0807323744520545E-4,0.0033537475392222404,0.0016126770060509443,0.00749118672683835,1.6276042151730508E-4,0.8749390840530396,0.002329521346837282,0.005263158120214939,4.370629321783781E-4,0.02095448225736618,5.399567889980972E-4,0.010469313710927963,1.8395879305899143E-4,0.0035989079624414444,0.020866936072707176,0.013606148771941662,0.0028398334980010986,0.0047357166185975075,3.905232879333198E-4,0.2613471746444702,0.018083520233631134,0.0029510960448533297,0.002912621246650815,0.0045045046135783195,0.10000000149011612,0.011143512092530727,0.057029176503419876,0.3535120189189911,0.024584930390119553,2.2614201589021832E-4
topic 10,0.10403618961572647,0.009761388413608074,1.7170330102089792E-4,1.7170330102089792E-4,0.01972157694399357,0.10000000149011612,0.014374783262610435,3.547776723280549E-4,0.008193484507501125,0.9133591651916504,0.04012686014175415,0.8432084918022156,9.36329597607255E-4,0.8588849902153015,0.9188376665115356,0.9372397065162659,0.01954513229429722,0.8883585929870605,0.39888110756874084,0.031815383583307266,0.319813072681427,0.038055554032325745,0.0378163643181324,0.02012140303850174,0.3247360587120056,0.024345334619283676,0.019780956208705902,0.9624000191688538,0.08258786052465439,0.04224270209670067,0.8146258592605591,0.3855563700199127,0.3660508096218109,0.02561282180249691,0.02631578966975212,2.384358667768538E-4,2.7639578911475837E-4,0.027762506157159805,0.9479591846466064,3.9032005588524044E-4,0.1875,0.02645828202366829,0.09767687320709229,0.010065359063446522,0.014217134565114975,0.011639676056802273,0.030338920652866364,0.031576745212078094,0.016984643414616585,0.015487571246922016,0.005771697498857975,0.008103531785309315,0.05699162930250168,0.0015664160018786788,0.8591954112052917,0.016847752034664154,0.024522457271814346,0.03298874944448471,0.02984650433063507,0.16542288661003113,0.0064552659168839455,0.7753872871398926,0.05293918401002884,0.011093247681856155,0.058331310749053955,0.08479531854391098,0.03031752072274685,0.0446428582072258,0.3609779477119446,0.03701794147491455,0.021431544795632362,0.027850685641169548,0.024891318753361702,0.019829612225294113,0.0011393228778615594,0.02886020392179489,0.38606521487236023,0.02481202967464924,0.9479895234107971,0.4612993896007538,8.999279816634953E-4,0.16787002980709076,0.010485650971531868,0.0026061057578772306,0.02207661233842373,0.025654342025518417,0.014199166558682919,0.05728689208626747,1.30174434161745E-4,0.05637373402714729,0.032252050936222076,0.0029510960448533297,0.02880258858203888,0.33483484387397766,0.10000000149011612,0.019058529287576675,0.7944297194480896,0.002310536103323102,0.8470625877380371,0.015603799372911453
