topic/doc,12 angry men,a beautiful mind,ac milan,ac_milan,africa screams,airplane!,akira,alastair_cook,andy murray,arrow,batman begins,beach vollyball,bey yaar,biribol,bow fishing,boxing,brendon_mccullum,chess,cricket,cristiano_ronaldo,cycling,die hard,edge of tomorrow,england_cricket_team,equastrianism,et,federer,field archery,Fifa world cup,fist of fury,football tennis,football,gambling,gladiator,good will hunting,hobbit1,hobbit2,hobbit3,hooverball,icc player rankings,icc t20 championship,indian_cricket_team,international cricket,jurassic park,kaka,kevi rite jaish,kevin_pietersen,laxman,lionel_messy,lotr1,lotr2,lotr3,machester_united,michael_clarke,mind sports,nadal,new_zealand_cricket_team,nfl,oldboy,one day international,phelps,polo,pulp fiction,rahul_dravid,real_madrid,rotton tomatoes,sachin_tendulkar,seven samurai,slamball,star wars 1,star wars 2,star wars 3,star wars 4,star wars 5,star wars 6,super bowl,swimming,tare zameen par,target archery,tennis,test cricket records,test cricket,the adventures of tintin,the beauty and the best,the dark knight rises,the dark knight,the incredibles,the king's speech,the lion king,the matrix,the terminator,the wind rises,to kill a mockingbird,toss cricket,wall-e,walt disney,water vollyball,world cricket league,wrestling,x2
topic 1,0.08107167482376099,0.10520607233047485,0.10078983753919601,0.12105082720518112,0.13573086261749268,0.10000000149011612,0.08191894739866257,0.09661778807640076,0.09842053055763245,0.08954501152038574,0.0974903479218483,0.07965343445539474,0.09831460565328598,0.0714285746216774,0.051102206110954285,0.11633850634098053,0.0920398011803627,0.10640089958906174,0.09761188924312592,0.11538461595773697,0.09626168012619019,0.10361111164093018,0.09284873306751251,0.09251348674297333,0.09577677398920059,0.08817512542009354,0.0973401889204979,0.10480000078678131,0.0889776349067688,0.06989247351884842,0.12074829638004303,0.09722725301980972,0.10662047564983368,0.11643620580434799,0.10298895090818405,0.10371959954500198,0.10088446736335754,0.10252886265516281,0.08469387888908386,0.12060889601707458,0.08866278827190399,0.10644843429327011,0.07022175192832947,0.11098039150238037,0.10284342616796494,0.12297570705413818,0.0758928582072258,0.12400668859481812,0.11966805905103683,0.10956022888422012,0.08785805851221085,0.09808901697397232,0.09933530539274216,0.08176691830158234,0.06034482643008232,0.09689176082611084,0.07924626022577286,0.1159927025437355,0.09920409321784973,0.1024046465754509,0.0909399762749672,0.09965576231479645,0.09715399146080017,0.10466238111257553,0.10708222538232803,0.0929824560880661,0.10740245133638382,0.0927795022726059,0.11073825508356094,0.11909671872854233,0.09051185846328735,0.07888597249984741,0.09641004353761673,0.10561104863882065,0.0968424454331398,0.10094983130693436,0.0959339290857315,0.08345864713191986,0.11494754999876022,0.11600160598754883,0.09521238505840302,0.09783393144607544,0.09621044993400574,0.0966741144657135,0.09445564448833466,0.10936851054430008,0.10280197113752365,0.09547815471887589,0.11364228278398514,0.07351520657539368,0.10794183611869812,0.08726812899112701,0.1343042105436325,0.13063062727451324,0.10000000149011612,0.09362632781267166,0.1180371344089508,0.07439926266670227,0.11143039911985397,0.07213930040597916
topic 2,0.1367432177066803,0.12039045244455338,0.11315247416496277,0.09186126291751862,0.13109049201011658,0.10000000149011612,0.09819882363080978,0.10253074765205383,0.1078973338007927,0.07502420246601105,0.11348593235015869,0.09474566578865051,0.11142322421073914,0.05749128758907318,0.11122244596481323,0.09324119985103607,0.10767590254545212,0.08469025045633316,0.09427187591791153,0.0899076908826828,0.1138317734003067,0.08416666835546494,0.11580341309309006,0.09026528894901276,0.11478129774332047,0.11354336887598038,0.108292356133461,0.09200000017881393,0.09376996755599976,0.07603686302900314,0.10034013539552689,0.0905219316482544,0.10123171657323837,0.11455059796571732,0.11013644933700562,0.10848831385374069,0.09535655379295349,0.08878504484891891,0.05816326662898064,0.11358314007520676,0.056686047464609146,0.09660349786281586,0.07761351764202118,0.133464053273201,0.08844165503978729,0.13006073236465454,0.08172376453876495,0.09974905848503113,0.11703117936849594,0.08470363169908524,0.08486532419919968,0.08647798746824265,0.09096504002809525,0.06234335899353027,0.15804597735404968,0.10308073461055756,0.07563242316246033,0.08072362095117569,0.11227970570325851,0.1024046465754509,0.09728199243545532,0.07762478291988373,0.12459766119718552,0.07990353554487228,0.08549600094556808,0.0953216403722763,0.0857880637049675,0.11374223232269287,0.10210929811000824,0.10136110335588455,0.11880981922149658,0.12408865243196487,0.11632309854030609,0.12088719010353088,0.10986328125,0.0877983421087265,0.10694620758295059,0.12315789610147476,0.13417832553386688,0.11479847878217697,0.09521238505840302,0.07256317883729935,0.0917954370379448,0.10734673589468002,0.10997983813285828,0.11082260310649872,0.11151079088449478,0.0921173244714737,0.09463681280612946,0.12083534896373749,0.09899328649044037,0.12015177309513092,0.09546925872564316,0.08858858793973923,0.10000000149011612,0.10404082387685776,0.07294429838657379,0.06330868601799011,0.10376755893230438,0.10786974430084229
topic 3,0.11099512875080109,0.10520607233047485,0.11074862629175186,0.11315247416496277,0.0800464004278183,0.10000000149011612,0.11032213270664215,0.08100757002830505,0.09249753504991531,0.11084220558404922,0.0991450622677803,0.09530463814735413,0.12265917658805847,0.11324042081832886,0.08116232603788376,0.1161491870880127,0.08848614245653152,0.1105184331536293,0.10262191295623779,0.10344615578651428,0.0977570116519928,0.08138889074325562,0.11168334633111954,0.10173111408948898,0.09939668327569962,0.09185761213302612,0.08996424078941345,0.13840000331401825,0.09696485847234726,0.04377880319952965,0.12074829638004303,0.098133385181427,0.1135488823056221,0.0919233188033104,0.153021439909935,0.11230328679084778,0.09867329895496368,0.11022540181875229,0.07448979467153549,0.08469945192337036,0.1497092992067337,0.09315776824951172,0.07022175192832947,0.10209150612354279,0.09324224293231964,0.15334008634090424,0.09119898080825806,0.11229611188173294,0.09422987699508667,0.09694072604179382,0.09469858556985855,0.10776487737894058,0.10499753803014755,0.08489974588155746,0.08908046036958694,0.10308073461055756,0.10867320746183395,0.08163575828075409,0.1253553181886673,0.10489220917224884,0.07893544435501099,0.10206540673971176,0.10020328313112259,0.09437298774719238,0.1182391494512558,0.11637426912784576,0.09879495203495026,0.12461180239915848,0.09827420860528946,0.1042483001947403,0.10590928047895432,0.1153397485613823,0.10075725615024567,0.09503525495529175,0.0968424454331398,0.11921577900648117,0.09551037847995758,0.12857143580913544,0.09746503829956055,0.08993382751941681,0.09593232721090317,0.13465704023838043,0.1072479784488678,0.09791511297225952,0.11360887438058853,0.1070835068821907,0.09333585947751999,0.13397493958473206,0.09151262789964676,0.09258811920881271,0.0978747233748436,0.13279932737350464,0.10000000149011612,0.07657657563686371,0.10000000149011612,0.08779420703649521,0.043766576796770096,0.0697781890630722,0.08524904400110245,0.10832202434539795
topic 4,0.09846903383731842,0.07917570322751999,0.11452610045671463,0.09460851550102234,0.06612528860569,0.10000000149011612,0.10478004813194275,0.10749763250350952,0.11618953943252563,0.10212972015142441,0.09500827640295029,0.1025712713599205,0.09082397073507309,0.1480836272239685,0.09318637102842331,0.1025179848074913,0.09914711862802505,0.11725622415542603,0.10278891026973724,0.10061538219451904,0.09887850284576416,0.12250000238418579,0.08431430160999298,0.10847572237253189,0.1132730022072792,0.10045008361339569,0.1123156026005745,0.09200000017881393,0.10015974193811417,0.151305690407753,0.06972789019346237,0.10755708813667297,0.08044649660587311,0.0872092992067337,0.09259258955717087,0.10038150101900101,0.09259258955717087,0.1245189681649208,0.09897959232330322,0.08938329666852951,0.09156976640224457,0.1039872020483017,0.09662090986967087,0.08901961147785187,0.0928729698061943,0.09362348169088364,0.10832726210355759,0.07758259773254395,0.08197611570358276,0.11261950433254242,0.10324925184249878,0.08889695256948471,0.11287543177604675,0.1262531280517578,0.07758620381355286,0.1103699654340744,0.13242127001285553,0.09501368552446365,0.13217736780643463,0.09825870394706726,0.10271800309419632,0.09001721441745758,0.0951211228966713,0.10016077011823654,0.09568275511264801,0.132748544216156,0.10529839247465134,0.09433230012655258,0.10786193609237671,0.09084347635507584,0.10258010774850845,0.11767279356718063,0.10636656731367111,0.10443595796823502,0.0896809920668602,0.11337067931890488,0.10609911382198334,0.07984962314367294,0.1324300765991211,0.08712653070688248,0.10025198012590408,0.08411552011966705,0.09547461569309235,0.0862496867775917,0.08881048113107681,0.09378895163536072,0.11567588150501251,0.1012832298874855,0.0928143709897995,0.08800096809864044,0.09675615280866623,0.07040472328662872,0.07152103632688522,0.08258258551359177,0.10000000149011612,0.0982087031006813,0.13395226001739502,0.12800370156764984,0.0795019119977951,0.0992763489484787
topic 5,0.09846903383731842,0.10592913627624512,0.10353709012269974,0.11418269574642181,0.0707656592130661,0.10000000149011612,0.0867682695388794,0.10868022590875626,0.08716683089733124,0.09148111939430237,0.08921676874160767,0.0695919543504715,0.09269662946462631,0.06445992738008499,0.13527053594589233,0.08869746327400208,0.05650319904088974,0.08918210864067078,0.08892785757780075,0.10849230736494064,0.08429906517267227,0.09972222149372101,0.1134490892291069,0.0918390303850174,0.10030166059732437,0.11845335364341736,0.08862315863370895,0.07440000027418137,0.11357827484607697,0.060675881803035736,0.09013605117797852,0.11444363743066788,0.11893764138221741,0.09223758429288864,0.09649122506380081,0.10038150101900101,0.10199005156755447,0.09263331443071365,0.10102041065692902,0.12529273331165314,0.06831395626068115,0.084297314286232,0.11246040463447571,0.08013071864843369,0.10764401406049728,0.09362348169088364,0.09174562990665436,0.12317021936178207,0.09888320416212082,0.08852772414684296,0.10324925184249878,0.08067247271537781,0.10844411700963974,0.15507519245147705,0.07758620381355286,0.08987759798765182,0.1004130095243454,0.09775007516145706,0.07760091125965118,0.121475949883461,0.12083805352449417,0.10481927543878555,0.09190241992473602,0.09726688265800476,0.07894736528396606,0.10701754689216614,0.09822111576795578,0.10520186275243759,0.07718120515346527,0.08816250413656235,0.1133999153971672,0.09288422018289566,0.09626980870962143,0.10472972691059113,0.11181640625,0.08950316905975342,0.08492164313793182,0.09969925135374069,0.08610139787197113,0.09695207327604294,0.10709143429994583,0.10361010581254959,0.10246504843235016,0.10933233797550201,0.10614919662475586,0.10043622553348541,0.0785687267780304,0.08600672334432602,0.0797969251871109,0.10393529385328293,0.10309470444917679,0.10581787675619125,0.07152103632688522,0.09159158915281296,0.10000000149011612,0.09362632781267166,0.08885941654443741,0.09380776435136795,0.10632184147834778,0.1413387656211853
topic 6,0.10334029048681259,0.08206796646118164,0.0959821417927742,0.10971840471029282,0.05220417678356171,0.10000000149011612,0.10200900584459305,0.09212393313646317,0.09960513561964035,0.08083252608776093,0.09473248571157455,0.09754052758216858,0.11142322421073914,0.11324042081832886,0.15731462836265564,0.10119272768497467,0.12828713655471802,0.09460976719856262,0.10629592835903168,0.09163077175617218,0.11420560628175735,0.07972222566604614,0.09137728065252304,0.10083183646202087,0.11297134310007095,0.06771685928106308,0.11499776691198349,0.09359999746084213,0.08067092299461365,0.08371736109256744,0.16836734116077423,0.0912468284368515,0.12663587927818298,0.07715273648500443,0.09584145247936249,0.09036719053983688,0.08706467598676682,0.08713579177856445,0.07653061300516129,0.13387978076934814,0.09447674453258514,0.09291163831949234,0.12090813368558884,0.09895424544811249,0.08844165503978729,0.10273279249668121,0.10796282440423965,0.06545378267765045,0.08538855612277985,0.13135755062103271,0.11265498399734497,0.09494436532258987,0.09884293377399445,0.10244360566139221,0.1350574642419815,0.10129280388355255,0.11435209214687347,0.09136515855789185,0.10830017179250717,0.10489220917224884,0.11336353421211243,0.09552495926618576,0.08868371695280075,0.09951768815517426,0.09204462915658951,0.09883040934801102,0.09592578560113907,0.10209627449512482,0.08293384313583374,0.1015673354268074,0.09092800319194794,0.08296879380941391,0.10272051393985748,0.08475323021411896,0.10693359375,0.09437408298254013,0.10821685940027237,0.08586466312408447,0.08610139787197113,0.09354320913553238,0.11033117026090622,0.11010830104351044,0.11754966527223587,0.09046909958124161,0.08719757944345474,0.09877441078424454,0.08235517144203186,0.11350443214178085,0.12978391349315643,0.11141960322856903,0.10085757076740265,0.06281618773937225,0.07928802818059921,0.10360360145568848,0.10000000149011612,0.1084149107336998,0.08355437964200974,0.1178373396396637,0.06736909598112106,0.08344640582799911
topic 7,0.09707724303007126,0.1355748325586319,0.07640796899795532,0.07675137370824814,0.18677493929862976,0.10000000149011612,0.12729476392269135,0.11861400306224823,0.09249753504991531,0.09148111939430237,0.09804192185401917,0.09698155522346497,0.06273408234119415,0.1480836272239685,0.08917835354804993,0.09532374143600464,0.12260127812623978,0.10714954137802124,0.11497996002435684,0.0977846160531044,0.12168224155902863,0.0902777761220932,0.11756915599107742,0.10847572237253189,0.07767722755670547,0.0992225855588913,0.09868127107620239,0.1111999973654747,0.10143770277500153,0.11751151829957962,0.07653061300516129,0.11879304051399231,0.10739029943943024,0.09663733839988708,0.07115009427070618,0.0956127792596817,0.11415146291255951,0.11627268046140671,0.1418367326259613,0.07377049326896667,0.08575581759214401,0.1263844519853592,0.1451953500509262,0.10732026398181915,0.12426144629716873,0.047064777463674545,0.1105138510465622,0.10016729682683945,0.0911276564002037,0.11453154683113098,0.08572039008140564,0.09010643512010574,0.09244214743375778,0.10369674116373062,0.16954022645950317,0.10981982946395874,0.11280330270528793,0.09987838566303253,0.09010801464319229,0.06923715025186539,0.10226500779390335,0.1055077463388443,0.09715399146080017,0.09340836107730865,0.09131700545549393,0.10701754689216614,0.1043420061469078,0.07336956262588501,0.11553212255239487,0.10177356004714966,0.12380357831716537,0.08617673069238663,0.09360538423061371,0.07975910604000092,0.11474609375,0.09705309569835663,0.09847522526979446,0.11593984812498093,0.0756118893623352,0.0897333100438118,0.1301295906305313,0.08844765275716782,0.11239882558584213,0.11007694154977798,0.08961693197488785,0.096697136759758,0.10658841580152512,0.1046440601348877,0.11650611460208893,0.0986238569021225,0.10682326555252075,0.10497470200061798,0.10258899629116058,0.12762762606143951,0.10000000149011612,0.10237450897693634,0.06763925403356552,0.1039741188287735,0.13441890478134155,0.09430122375488281
topic 8,0.0880306214094162,0.1355748325586319,0.12379807978868484,0.1227678582072258,0.10788863152265549,0.10000000149011612,0.08711465448141098,0.09661778807640076,0.11441263556480408,0.13794772326946259,0.09362934529781342,0.11430966854095459,0.0833333358168602,0.08188153058290482,0.07715430855751038,0.08320711553096771,0.1268656700849533,0.0863746926188469,0.09293587505817413,0.09335384517908096,0.09327102452516556,0.09916666895151138,0.0884343758225441,0.11139838397502899,0.07858220487833023,0.10495089739561081,0.09376396983861923,0.10159999877214432,0.11837060749530792,0.12365591526031494,0.07653061300516129,0.09632112830877304,0.08352579176425934,0.10323695838451385,0.08674463629722595,0.10324272513389587,0.11249309033155441,0.09923034906387329,0.17040815949440002,0.09406713396310806,0.11773255467414856,0.10669456422328949,0.09767687320709229,0.10418300330638885,0.09619645774364471,0.08248987793922424,0.10814504325389862,0.09849435091018677,0.1030711978673935,0.09961759299039841,0.10795211791992188,0.13824382424354553,0.08554898947477341,0.10620300471782684,0.07758620381355286,0.09922982007265091,0.0895715057849884,0.09866220504045486,0.0974985808134079,0.07918739318847656,0.11132502555847168,0.1292598992586136,0.10240555554628372,0.09823150932788849,0.10029105097055435,0.07192982733249664,0.10166411846876144,0.1160714253783226,0.09156280010938644,0.09414312243461609,0.08801498264074326,0.10863225162029266,0.09921469539403915,0.1041421890258789,0.0828450545668602,0.09023380279541016,0.0844980925321579,0.08285713940858841,0.11145105212926865,0.10397032648324966,0.09413246810436249,0.11299639195203781,0.08075790852308273,0.09791511297225952,0.10030242055654526,0.09939759224653244,0.11529723554849625,0.08111824095249176,0.09984379261732101,0.08268952369689941,0.09004474431276321,0.1041315346956253,0.11488673090934753,0.07657657563686371,0.10000000149011612,0.09487606585025787,0.1472148597240448,0.0901109054684639,0.12675607204437256,0.10244233161211014
topic 9,0.12143354117870331,0.05965292826294899,0.08396290987730026,0.07675137370824814,0.06612528860569,0.10000000149011612,0.08711465448141098,0.08763008564710617,0.09585390239953995,0.07405614852905273,0.11072807759046555,0.10592509806156158,0.12640449404716492,0.054006967693567276,0.05711422860622406,0.10554713755846024,0.10199005156755447,0.09049223363399506,0.0999498963356018,0.0931076928973198,0.08691588789224625,0.11027777940034866,0.09549735486507416,0.0918390303850174,0.11025641113519669,0.10208674520254135,0.08839964121580124,0.07280000299215317,0.11070287227630615,0.17741934955120087,0.06972789019346237,0.09976440668106079,0.07659738510847092,0.11360779404640198,0.09194281697273254,0.06556986272335052,0.10088446736335754,0.09483232349157333,0.13163265585899353,0.10343481600284576,0.1002907007932663,0.08995816111564636,0.07655754685401917,0.0837908461689949,0.1024741530418396,0.09261133521795273,0.11634474992752075,0.09054788947105408,0.11377384513616562,0.07782027125358582,0.11179991811513901,0.10123366862535477,0.10425898432731628,0.1018170416355133,0.10632184147834778,0.08850227296352386,0.11538461595773697,0.11568865925073624,0.06907333433628082,0.13142620027065277,0.09864099323749542,0.10103270411491394,0.10308317840099335,0.11591640114784241,0.12721319496631622,0.07426900416612625,0.1146709993481636,0.08501552790403366,0.1270373910665512,0.10321715474128723,0.08010819554328918,0.10571595281362534,0.1051044762134552,0.10443595796823502,0.0965169295668602,0.10728202760219574,0.09296908229589462,0.1054135337471962,0.05812937021255493,0.11199117451906204,0.09449244290590286,0.0898916944861412,0.09621044993400574,0.09915611892938614,0.10715726017951965,0.09191939979791641,0.09863688051700592,0.11503208428621292,0.09671960771083832,0.14377112686634064,0.09116330742835999,0.1075042188167572,0.1343042105436325,0.06456456333398819,0.10000000149011612,0.11299729347229004,0.10477453470230103,0.13632163405418396,0.0807790532708168,0.088421531021595
topic 10,0.06437021493911743,0.0712219849228859,0.07709477841854095,0.07915522158145905,0.10324826091527939,0.10000000149011612,0.114478699862957,0.10868022590875626,0.09545902907848358,0.1466602087020874,0.10852178931236267,0.1433761864900589,0.1001872643828392,0.1480836272239685,0.14729459583759308,0.09778492897748947,0.07640369236469269,0.11332584917545319,0.0996159017086029,0.10627692192792892,0.0928971990942955,0.12916666269302368,0.08902295678853989,0.10263039916753769,0.0969834104180336,0.11354336887598038,0.10762181133031845,0.11919999867677689,0.09536740928888321,0.09600614756345749,0.1071428582072258,0.08599130064249039,0.08506543189287186,0.10700817406177521,0.09909031540155411,0.11993324011564255,0.09590934216976166,0.08383727073669434,0.062244899570941925,0.061280250549316406,0.14680232107639313,0.09955697506666183,0.13252376019954681,0.0900653600692749,0.1035819798707962,0.08147773146629333,0.10814504325389862,0.10853199660778046,0.0948503166437149,0.08432122319936752,0.10795211791992188,0.11357039213180542,0.10228951275348663,0.07550125569105148,0.04885057359933853,0.09785448759794235,0.07150232046842575,0.12328975647687912,0.08840250223875046,0.08582089841365814,0.08369196206331253,0.09449225664138794,0.09969507157802582,0.1165594831109047,0.10368663817644119,0.10350877046585083,0.08789212256669998,0.0927795022726059,0.08676893264055252,0.09558671712875366,0.08593425154685974,0.08763487637042999,0.08322815597057343,0.09621033817529678,0.0939127579331398,0.10021919012069702,0.126429483294487,0.0951879695057869,0.1035839170217514,0.09594947099685669,0.0772138237953186,0.10577617585659027,0.09988962113857269,0.10486473143100739,0.10272177308797836,0.09171167761087418,0.09522908180952072,0.07684081792831421,0.08474355936050415,0.08462095260620117,0.1064504086971283,0.1041315346956253,0.09611650556325912,0.157657653093338,0.10000000149011612,0.10404082387685776,0.1392572969198227,0.12245841324329376,0.10440613329410553,0.10244233161211014
